Original Variable Name,Tidy Column Name
tBodyAcc-mean()-X,BodyMeanAccelerationInXbyTime
tBodyAcc-mean()-Y,BodyMeanAccelerationInYbyTime
tBodyAcc-mean()-Z,BodyMeanAccelerationInZbyTime
tBodyAcc-std()-X,BodyStdAccelerationInXbyTime
tBodyAcc-std()-Y,BodyStdAccelerationInYbyTime
tBodyAcc-std()-Z,BodyStdAccelerationInZbyTime
tGravityAcc-mean()-X,GravityMeanAccelerationInXbyTime
tGravityAcc-mean()-Y,GravityMeanAccelerationInYbyTime
tGravityAcc-mean()-Z,GravityMeanAccelerationInZbyTime
tGravityAcc-std()-X,GravityStdAccelerationInXbyTime
tGravityAcc-std()-Y,GravityStdAccelerationInYbyTime
tGravityAcc-std()-Z,GravityStdAccelerationInZbyTime
tBodyAccJerk-mean()-X,BodyMeanJerkAccelerationInXbyTime
tBodyAccJerk-mean()-Y,BodyMeanJerkAccelerationInYbyTime
tBodyAccJerk-mean()-Z,BodyMeanJerkAccelerationInZbyTime
tBodyAccJerk-std()-X,BodyStdJerkAccelerationInXbyTime
tBodyAccJerk-std()-Y,BodyStdJerkAccelerationInYbyTime
tBodyAccJerk-std()-Z,BodyStdJerkAccelerationInZbyTime
tBodyGyro-mean()-X,BodyMeanGyroAccelerationInXbyTime
tBodyGyro-mean()-Y,BodyMeanGyroAccelerationInYbyTime
tBodyGyro-mean()-Z,BodyMeanGyroAccelerationInZbyTime
tBodyGyro-std()-X,BodyStdGyroAccelerationInXbyTime
tBodyGyro-std()-Y,BodyStdGyroAccelerationInYbyTime
tBodyGyro-std()-Z,BodyStdGyroAccelerationInZbyTime
tBodyGyroJerk-mean()-X,BodyMeanJerkGyroAccelerationInXbyTime
tBodyGyroJerk-mean()-Y,BodyMeanJerkGyroAccelerationInYbyTime
tBodyGyroJerk-mean()-Z,BodyMeanJerkGyroAccelerationInZbyTime
tBodyGyroJerk-std()-X,BodyStdJerkGyroAccelerationInXbyTime
tBodyGyroJerk-std()-Y,BodyStdJerkGyroAccelerationInYbyTime
tBodyGyroJerk-std()-Z,BodyStdJerkGyroAccelerationInZbyTime
tBodyAccMag-mean(),BodyMeanAbsAccelerationbyTime
tBodyAccMag-std(),BodyStdAbsAccelerationbyTime
tGravityAccMag-mean(),GravityMeanAbsAccelerationbyTime
tGravityAccMag-std(),GravityStdAbsAccelerationbyTime
tBodyAccJerkMag-mean(),BodyMeanAbsJerkAccelerationbyTime
tBodyAccJerkMag-std(),BodyStdAbsJerkAccelerationbyTime
tBodyGyroMag-mean(),BodyMeanAbsGyroAccelerationbyTime
tBodyGyroMag-std(),BodyStdAbsGyroAccelerationbyTime
tBodyGyroJerkMag-mean(),BodyMeanAbsJerkGyroAccelerationbyTime
tBodyGyroJerkMag-std(),BodyStdAbsJerkGyroAccelerationbyTime
fBodyAcc-mean()-X,BodyMeanAccelerationInXbyFreq
fBodyAcc-mean()-Y,BodyMeanAccelerationInYbyFreq
fBodyAcc-mean()-Z,BodyMeanAccelerationInZbyFreq
fBodyAcc-std()-X,BodyStdAccelerationInXbyFreq
fBodyAcc-std()-Y,BodyStdAccelerationInYbyFreq
fBodyAcc-std()-Z,BodyStdAccelerationInZbyFreq
fBodyAccJerk-mean()-X,BodyMeanJerkAccelerationInXbyFreq
fBodyAccJerk-mean()-Y,BodyMeanJerkAccelerationInYbyFreq
fBodyAccJerk-mean()-Z,BodyMeanJerkAccelerationInZbyFreq
fBodyAccJerk-std()-X,BodyStdJerkAccelerationInXbyFreq
fBodyAccJerk-std()-Y,BodyStdJerkAccelerationInYbyFreq
fBodyAccJerk-std()-Z,BodyStdJerkAccelerationInZbyFreq
fBodyGyro-mean()-X,BodyMeanGyroAccelerationInXbyFreq
fBodyGyro-mean()-Y,BodyMeanGyroAccelerationInYbyFreq
fBodyGyro-mean()-Z,BodyMeanGyroAccelerationInZbyFreq
fBodyGyro-std()-X,BodyStdGyroAccelerationInXbyFreq
fBodyGyro-std()-Y,BodyStdGyroAccelerationInYbyFreq
fBodyGyro-std()-Z,BodyStdGyroAccelerationInZbyFreq
fBodyAccMag-mean(),BodyMeanAbsAccelerationInbyFreq
fBodyAccMag-std(),BodyStdAbsAccelerationbyFreq
fBodyBodyAccJerkMag-mean(),BodyMeanAbsJerkBodyAccelerationbyFreq
fBodyBodyAccJerkMag-std(),BodyStdAbsJerkBodyAccelerationbyFreq
fBodyBodyGyroMag-mean(),BodyMeanAbsGyroBodyAccelerationbyFreq
fBodyBodyGyroMag-std(),BodyStdAbsBodyGyroAccelerationbyFreq
fBodyBodyGyroJerkMag-mean(),BodyMeanAbsBodyGyroJerkAccelerationbyFreq
fBodyBodyGyroJerkMag-std(),BodyStdAbsBodyGyroJerkAccelerationbyFreq
